name,name_kana,prefecture,municipality,lat,lng,rank,category,description,official_url
安房神社,,千葉県,館山市,34.922593,139.8370142,A,神社,安房神社（あわじんじゃ）は、千葉県館山市大神宮にある神社。式内社（名神大社）、安房国一宮。,
修多羅寺,,茨城県,,36.4751657,140.2850357,A,寺院,修多羅寺（しゅたらじ）は、茨城県東茨城郡城里町小勝にある日蓮宗の寺院。山号は長久山、旧本山は大本山法華経寺(中山門流)。,
乃木神社,,東京都,港区,35.668586,139.727995,A,神社,乃木神社（のぎじんじゃ）は、東京都港区赤坂にある神社。明治期の軍人・乃木希典（乃木希典命）とその妻・乃木静子（乃木静子命）を祀る。,
小網神社,,東京都,,35.6841674,139.7804475,A,神社,小網神社（こあみじんじゃ）は、東京都中央区日本橋小網町にある神社。「小網神社社殿及び神楽殿附棟札・造営関係資料」は中央区有形文化財となっている（1991年4月1日指定）。,
愛宕神社,,東京都,,35.6649257,139.7488172,A,神社,愛宕神社（あたごじんじゃ）は、東京都港区愛宕一丁目にある神社。戦勝や防火に連なる愛宕権現を祀っており（愛宕信仰）、京都の愛宕神社が総本社である。,
鳥越神社,,東京都,,35.7019971,139.7857711,A,神社,,
多田神社,,兵庫県,,34.8608963,135.402667,A,神社,多田神社（ただじんじゃ）は、兵庫県川西市多田院多田所町にある神社。旧社格は県社で、現在は神社本庁の別表神社。,
金戒光明寺,,京都府,,35.0194721,135.7884216,A,寺院,,
青岸渡寺,,和歌山県,,33.6693068,135.8899207,A,寺院,,
毛越寺,,岩手県,,38.9882247,141.1073021,A,寺院,毛越寺（もうつうじ）は、岩手県西磐井郡平泉町（創建時は陸奥国磐井郡平泉）に所在する、天台宗の寺院。現在の本尊は薬師如来立像（平安時代後期の作。,
調神社,,埼玉県,さいたま市,35.8534177,139.6556849,A,神社,調神社（つきじんじゃ）は、埼玉県さいたま市浦和区岸町三丁目にある神社。式内社で、旧社格は県社。,
湯島天満宮,,東京都,文京区,35.7076842,139.7678622,A,神社,湯島天満宮（ゆしまてんまんぐう）は、東京都文京区湯島三丁目にある天満宮で、菅原道真を含む二柱の祭神を祀る神社。通称は湯島天神（ゆしまてんじん）、旧称は湯島神社（ゆしまじんじゃ）。,
大阪天満宮,,大阪府,,34.6961478,135.5127788,A,神社,大阪天満宮（おおさかてんまんぐう）は、大阪市北区天神橋にある神社。別名に天満天神・浪華菅廟・中島天満宮がある。,
伊勢神宮 外宮,,三重県,,34.4873236,136.703365,A,神社,,
神護寺,,京都府,,35.0544255,135.6698692,A,寺院,,
神魂神社,,島根県,,35.4255144,133.084434,A,神社,神魂神社（かもすじんじゃ）は、島根県松江市大庭町にある神社である。旧社格は県社で、意宇六社の一社。,
高麗神社,,埼玉県,,35.8985741,139.3227046,A,神社,,
瑠璃光寺,,山口県,,34.1898401,131.4717766,A,寺院,瑠璃光寺（るりこうじ）は、山口市香山町にある、仏教曹洞宗の寺院。国宝の五重塔を中心として、境内は香山公園と呼ばれ、桜や梅の名所にもなっている。,
箱根神社,,神奈川県,,35.2039578,139.0255666,A,神社,,
息栖神社,,茨城県,,35.8858155,140.6251097,A,神社,息栖神社（いきすじんじゃ）は、茨城県神栖市息栖にある神社。国史見在社で、旧社格は県社。,
阿蘇神社,,熊本県,阿蘇市,32.9476916,131.1160299,A,神社,,
一心寺,,大阪府,,34.6527185,135.5106576,A,寺院,一心寺（いっしんじ）は、大阪市天王寺区にある浄土宗の寺院。山号は坂松山（ばんしょうざん）。,
枚岡神社,,大阪府,,34.6698429,135.6505061,A,神社,枚岡神社（ひらおかじんじゃ）は、大阪府東大阪市出雲井町（いずもいちょう）にある神社。式内社（名神大社）、河内国一宮。,
鑁阿寺,,栃木県,,36.3375432,139.4521176,A,寺院,,
木島坐天照御魂神社,,京都府,,35.014456,135.7134253,A,神社,木嶋坐天照御魂神社（このしまにますあまてるみたまじんじゃ、木島坐天照御魂神社）は、京都市右京区太秦森ケ東町にある神社。式内社（名神大社）で、旧社格は郷社。,
西宮神社,,兵庫県,西宮市,34.7352092,135.3346532,A,神社,,
猿田彦神社,,三重県,,34.4673487,136.720861,A,神社,猿田彦神社（さるたひこじんじゃ）は、三重県伊勢市の伊勢神宮内宮の近くにある神社である。猿田彦大神と、その子孫の大田命を祭神とする。,
金山神社,,神奈川県,,35.5345537,139.7246453,A,神社,,
大雄山最乗寺,,神奈川県,,35.3019559,139.0754344,A,寺院,,
西新井大師,,東京都,足立区,35.779756,139.7806452,A,寺院,,
安居神社,,大阪府,,34.6544824,135.5109293,A,神社,安居神社（やすいじんじゃ）は、大阪市天王寺区にある神社。旧社格は村社。,
大樹寺,,愛知県,,34.9843176,137.1652924,A,寺院,大樹寺（だいじゅじ / だいじゅうじ）は、愛知県岡崎市鴨田町にある浄土宗の寺院。徳川氏（松平氏）の菩提寺。,
神呪寺,,兵庫県,,34.7731861,135.3298353,A,寺院,神呪寺（かんのうじ、神咒寺）は、兵庫県西宮市甲山町にある真言宗御室派の別格本山の寺院。山号は甲山。,
中山法華経寺,,千葉県,市川市,35.7202948,139.9482157,A,寺院,法華経寺（ほけきょうじ）は、千葉県市川市中山二丁目にある日蓮宗大本山の寺院である。鎌倉時代の文応元年（1260年）創立。,
頂法寺,,京都府,,35.0076246,135.7603754,A,寺院,,
崇福寺,,福岡県,,33.6055059,130.4139533,A,寺院,崇福寺（そうふくじ）は、福岡県福岡市博多区にある臨済宗大徳寺派の寺院。同派三道場の一つ。,
南宮大社,,岐阜県,,35.3606897,136.5253565,A,神社,南宮大社（なんぐうたいしゃ）は、岐阜県不破郡垂井町にある神社。古くから「なんぐうさん」と呼ばれる。,
水無瀬神宮,,大阪府,,34.8850406,135.6727538,A,神社,水無瀬神宮（みなせじんぐう）は、大阪府三島郡島本町にある神社。旧社格は官幣大社で、現在は神社本庁の別表神社。,
天河大弁財天社,,奈良県,,34.2234827,135.8417126,A,神社,天河大弁財天社（てんかわだいべんざいてんしゃ、天河神社）は、奈良県吉野郡天川村坪内にある神社。旧社格は郷社。,
小野神社,,東京都,,35.6530699,139.4419497,A,神社,小野神社（おのじんじゃ）は、東京都多摩市にある神社。式内社論社、武蔵国一宮を称する。,
