name,name_kana,lat,lng,region,rank,series,categories,description,key
高源寺,こうげんじ,36.1341616,139.4629653,埼玉県,A,寺院,,高源寺（こうげんじ）は、埼玉県行田市にある臨済宗円覚寺派の寺院。山号は天真山。本尊は阿弥陀如来。(出典: ja.wikipedia「高源寺 (行田市)」 https://ja.wikipedia.org/wiki/高源寺_%28行田市%29),高源寺
高麗神社,,35.8985741,139.3227046,埼玉県,A,神社,,高麗神社 （こまじんじゃ）は、埼玉県日高市に鎮座する神社。旧社格は県社。(出典: ja.wikipedia「高麗神社」 https://ja.wikipedia.org/wiki/高麗神社),高麗神社
鷲宮神社,わしのみやじんじゃ,36.0999753,139.6548687,埼玉県,A,神社,,鷲宮神社（わしのみやじんじゃ）は、埼玉県久喜市鷲宮一丁目に所在する神社。「関東最古の大社」、「お酉様の本社」と称する『朝日新聞』2007年8月30日 朝刊 埼玉・1地方35頁「アニメ信者、鷲宮詣で 「らき☆すた」ファン、神社に続々 ／埼玉県」（朝日新聞東京本社）。天穂日命とその子の武夷鳥命、および大己貴命を祭神とする。(出典: ja.wikipedia「鷲宮神社」 https://ja.wikipedia.org/wiki/鷲宮神社),鷲宮神社
千葉神社,ちばじんじゃ,35.6117558,140.1237789,千葉県,A,神社,,千葉神社（ちばじんじゃ）は、千葉県千葉市中央区にある神社。旧社格は県社。神紋は三光紋（月星）、社紋は九曜紋。別称は北辰妙見尊星王の本宮を意味する「妙見本宮（みょうけんほんぐう）」公式HPおよび千葉県公式観光物産サイトでは「妙見本宮」を冠した名称を用いている。(出典: ja.wikipedia「千葉神社」 https://ja.wikipedia.org/wiki/千葉神社),千葉神社
安房神社,あわじんじゃ,34.922593,139.8370142,千葉県,A,神社,,安房神社（あわじんじゃ）は、千葉県館山市大神宮にある神社。式内社（名神大社）、安房国一宮。旧社格は官幣大社で、現在は神社本庁の別表神社。(出典: ja.wikipedia「安房神社」 https://ja.wikipedia.org/wiki/安房神社),安房神社
本土寺,ほんどじ,35.8401558,139.9288089,千葉県,A,寺院,,本土寺（ほんどじ）は、千葉県松戸市平賀長谷葛飾郡平賀村、東葛飾郡小金町平賀にある、日蓮宗の本山。山号は長谷山。塔頭が一院ある（佛持院）。(出典: ja.wikipedia「本土寺」 https://ja.wikipedia.org/wiki/本土寺),本土寺
玉前神社,たまさきじんじゃ,35.3761992,140.3605288,千葉県,A,神社,,玉前神社（たまさきじんじゃ）は、千葉県長生郡一宮町一宮にある神社。式内社（名神大社）、上総国一宮。旧社格は国幣中社で、現在は神社本庁の別表神社。(出典: ja.wikipedia「玉前神社」 https://ja.wikipedia.org/wiki/玉前神社),玉前神社
香取神宮,かとりじんぐう,35.8857007,140.5289896,千葉県,A,神社,,香取神宮（かとりじんぐう）は、千葉県香取市香取にある神社。式内社（名神大社）、下総国一宮。旧社格は官幣大社で、現在は神社本庁の別表神社。 関東地方を中心として全国にある香取神社の総本社。茨城県鹿嶋市の鹿島神宮、茨城県神栖市の息栖神社とともに東国三社の一社東国三社（神栖市観光協会）。。また、宮中の四方拝で遥拝される一社である。(出典: ja.wikipedia「香取神宮」 https://ja.wikipedia.org/wiki/香取神宮),香取神宮
麻賀多神社,まかたじんじゃ,35.7707427,140.2763125,千葉県,A,神社,,麻賀多神社（まかたじんじゃ）は、千葉県成田市台方にある神社である。式内社で、旧社格は郷社。印旛郡市に18社ある「麻賀多十八社」の総本社である。(出典: ja.wikipedia「麻賀多神社」 https://ja.wikipedia.org/wiki/麻賀多神社),麻賀多神社
上野東照宮,うえのとうしょうぐう,35.7153982,139.7706324,東京都,A,神社,,上野東照宮（うえのとうしょうぐう）は、東京都台東区上野恩賜公園内にある神社。旧社格は府社。その豪華さや由来から三大東照宮の一つに数えられることが多い（ただし他の東照宮への配慮からか、自称してはいない）。近隣の芝東照宮は自らを「日光東照宮・久能山東照宮・上野東照宮に並ぶ四大東照宮の一つ」としている。(出典: ja.wikipedia「上野東照宮」 https://ja.wikipedia.org/wiki/上野東照宮),上野東照宮
乃木神社,のぎじんじゃ,35.668586,139.727995,東京都,A,神社,,乃木神社（のぎじんじゃ）は、東京都港区赤坂にある神社。明治期の軍人・乃木希典（乃木希典命）とその妻・乃木静子（乃木静子命）を祀る。旧社格は府社。現在は神社本庁の別表神社。(出典: ja.wikipedia「乃木神社 (東京都港区)」 https://ja.wikipedia.org/wiki/乃木神社_%28東京都港区%29),乃木神社
九品山 唯在念佛院 浄真寺,,35.6084285,139.6606912,東京都,A,寺院,,九品仏浄真寺（くほんぶつじょうしんじ）は、東京都世田谷区奥沢七丁目にある浄土宗の寺である。山号は「九品山」、正式名称は「九品山唯在念佛院淨眞寺」。「九品仏」（くほんぶつ）とは、一義的には、後述のとおり同寺に安置されている9体の阿弥陀如来像のことであるが、一般には同寺の通称となっている。転じて、同寺の周辺の地区を指す場合にも用いられる。(出典: ja.wikipedia「九品仏浄真寺」 https://ja.wikipedia.org/wiki/九品仏浄真寺),九品山 唯在念佛院 浄真寺
傳通院,,35.7124809,139.746878,東京都,A,寺院,,伝通院（でんづういん）は、東京都文京区小石川三丁目の高台にある浄土宗の寺。正式名称は、無量山 伝通院 寿経寺（むりょうざん・でんづういん・じゅきょうじ）。または小石川伝通院とも。徳川将軍家の菩提寺。江戸三十三観音札所の第十二番札所。(出典: ja.wikipedia「伝通院」 https://ja.wikipedia.org/wiki/伝通院),傳通院
吉祥寺,きちじょうじ,35.7278356,139.7545071,東京都,A,寺院,,吉祥寺（きちじょうじ）は、東京都文京区本駒込三丁目にある曹洞宗の寺院。山号は諏訪山。(出典: ja.wikipedia「吉祥寺 (文京区)」 https://ja.wikipedia.org/wiki/吉祥寺_%28文京区%29),吉祥寺
善福寺,ぜんぷくじ,35.6535644,139.7328718,東京都,A,寺院,,善福寺（ぜんぷくじ）は、東京都港区元麻布一丁目にある浄土真宗本願寺派の寺院。山号は麻布山（あざぶさん）。「麻布山善福寺」あるいは単に「麻布山」と呼ばれることもある。東京都内では、浅草寺、深大寺に次ぐ古刹の一つで、境内には著名人の墓も多い。浄土真宗関東七大寺の一つ。(出典: ja.wikipedia「善福寺 (東京都港区)」 https://ja.wikipedia.org/wiki/善福寺_%28東京都港区%29),善福寺
回向院,えこういん,35.6933386,139.7920396,東京都,A,寺院,,回向院（えこういん）は、東京都墨田区両国二丁目にある浄土宗の寺院、および過去にその別院であった東京都荒川区南千住五丁目にある寺院。(出典: ja.wikipedia「回向院」 https://ja.wikipedia.org/wiki/回向院),回向院
