name,name_kana,region,lat,lng,rank,category,description
仙台薬師堂郵便局,,宮城県,38.24885,140.902711,郵便局,郵便局,木ノ下4-6-3
仙台連坊郵便局,,宮城県,38.251269,140.894468,郵便局,郵便局,連坊2-11-1
仙台越路郵便局,,宮城県,38.245195,140.88018,郵便局,郵便局,越路12-26
新仙台郵便局,,宮城県,38.218607,140.839652,郵便局,郵便局,鈎取谷地田80
仙台鈎取郵便局,,宮城県,38.221115,140.836312,郵便局,郵便局,鈎取本町1-15-50
仙台西ノ平郵便局,,宮城県,38.23047,140.849835,郵便局,郵便局,金剛沢1-4-46
仙台向山郵便局,,宮城県,38.245793,140.870407,郵便局,郵便局,向山2-19-5
仙台四郎丸郵便局,,宮城県,38.192424,140.913235,郵便局,郵便局,四郎丸吹上50
秋保郵便局,,宮城県,38.257132,140.677696,郵便局,郵便局,秋保町長袋門前29
秋保温泉郵便局,,宮城県,38.228803,140.71825,郵便局,郵便局,秋保町湯元薬師38-3
馬場簡易郵便局,,宮城県,38.267964,140.648808,郵便局,簡易郵便局,秋保町馬場町南69
仙台人来田郵便局,,宮城県,38.223541,140.807576,郵便局,郵便局,人来田1-14-6
仙台諏訪郵便局,,宮城県,38.214643,140.884347,郵便局,郵便局,諏訪町3-76
西中田簡易郵便局,,宮城県,38.196888,140.87884,郵便局,簡易郵便局,西中田5-6-40
仙台泉崎郵便局,,宮城県,38.219974,140.864824,郵便局,郵便局,泉崎2-26-11
仙台太白郵便局,,宮城県,38.232199,140.816761,郵便局,郵便局,太白2-14-2
仙台大野田郵便局,,宮城県,38.2145371988,140.876331739,郵便局,郵便局,大野田宮脇25-1
仙台青山郵便局,,宮城県,38.235751,140.859904,郵便局,郵便局,大塒町7-37
仙台中田郵便局,,宮城県,38.197583,140.889865,郵便局,郵便局,中田4-15-1
仙台長町三郵便局,,宮城県,38.231358,140.885555,郵便局,郵便局,長町3-8-23
仙台長町六郵便局,,宮城県,38.221306,140.882911,郵便局,郵便局,長町6-8-40
仙台南郵便局,,宮城県,38.22786,140.876319,郵便局,郵便局,長町7-21-12
仙台袋原郵便局,,宮城県,38.199728,140.904653,郵便局,郵便局,東中田4-11-41
仙台八本松郵便局,,宮城県,38.226894,140.895337,郵便局,郵便局,八本松2-8-12
仙台八木山本町郵便局,,宮城県,38.240456,140.846408,郵便局,郵便局,八木山本町1-35-4
八木山南団地簡易郵便局,,宮城県,38.236126,140.838407,郵便局,簡易郵便局,八木山本町2-43-3
仙台八木山香澄町郵便局,,宮城県,38.243528,140.861015,郵便局,郵便局,八木山弥生町1-1
仙台富沢郵便局,,宮城県,38.212161,140.867535,郵便局,郵便局,富沢南2-5-1
仙台茂庭台郵便局,,宮城県,38.235143,140.783097,郵便局,郵便局,茂庭台4-1-22
仙台生出郵便局,,宮城県,38.22214,140.786579,郵便局,郵便局,茂庭町北41-1
仙台緑ケ丘郵便局,,宮城県,38.232065,140.8661,郵便局,郵便局,緑ケ丘3-3-12
泉加茂郵便局,,宮城県,38.313496,140.856502,郵便局,郵便局,加茂2-23-5
泉館郵便局,,宮城県,38.312897,140.797446,郵便局,郵便局,館2-1-101
泉向陽台郵便局,,宮城県,38.338509,140.900358,郵便局,郵便局,向陽台4-30-6
泉高森郵便局,,宮城県,38.335952,140.844518,郵便局,郵便局,高森1-1-289
泉黒松郵便局,,宮城県,38.304234,140.882989,郵便局,郵便局,黒松1-9-33
泉根白石郵便局,,宮城県,38.34296,140.800183,郵便局,郵便局,根白石町東5
泉市名坂簡易郵便局,,宮城県,38.314633,140.913506,郵便局,簡易郵便局,市名坂本町13
泉西郵便局,,宮城県,38.344301,140.834528,郵便局,郵便局,寺岡6-8-1
泉七北田郵便局,,宮城県,38.324353,140.889341,郵便局,郵便局,七北田町52-6
泉住吉台郵便局,,宮城県,38.330401,140.784268,郵便局,郵便局,住吉台東3-1-2
泉郵便局,,宮城県,38.333606,140.87631,郵便局,郵便局,将監8-10-3
泉松陵郵便局,,宮城県,38.3256118646,140.912550884,郵便局,郵便局,松陵1-16-4
泉中央駅内郵便局,,宮城県,38.32317,140.880759,郵便局,郵便局,泉中央1-7-1
