name,name_kana,lat,lng,region,series,categories,description,key
伊平屋郵便局,,27.039238,127.969199,沖縄県,郵便局,普通,我喜屋257,伊平屋郵便局
伊是名郵便局,,26.92886,127.941484,沖縄県,郵便局,普通,仲田1166,伊是名郵便局
久米島郵便局,,26.332718,126.768822,沖縄県,郵便局,普通,儀間171-3,久米島郵便局
仲里郵便局,,26.339579,126.805318,沖縄県,郵便局,普通,謝名堂906-12,仲里郵便局
大田郵便局,,26.347216,126.747212,沖縄県,郵便局,普通,仲泊580-1,大田郵便局
宜次簡易郵便局,,26.174481,127.718808,沖縄県,郵便局,簡易,宜次664-1,宜次簡易郵便局
具志頭郵便局,,26.121185,127.743193,沖縄県,郵便局,普通,具志頭659-11,具志頭郵便局
東風平郵便局,,26.153344,127.721948,沖縄県,郵便局,普通,東風平291-3,東風平郵便局
多良間郵便局,,24.668526,124.702837,沖縄県,郵便局,普通,塩川152,多良間郵便局
黒島郵便局,,24.238554,124.014289,沖縄県,郵便局,普通,黒島1032-1,黒島郵便局
小浜島郵便局,,24.340071,123.981267,沖縄県,郵便局,普通,小浜59,小浜島郵便局
西表島郵便局,,24.388267,123.74701,沖縄県,郵便局,普通,西表628,西表島郵便局
竹富郵便局,,24.329825,124.088012,沖縄県,郵便局,普通,竹富500,竹富郵便局
西表大原郵便局,,24.271831,123.881107,沖縄県,郵便局,普通,南風見201-117,西表大原郵便局
波照間郵便局,,24.06147,123.775024,沖縄県,郵便局,普通,波照間106-2,波照間郵便局
鳩間簡易郵便局,,24.4685020016,123.822191478,沖縄県,郵便局,簡易,鳩間28,鳩間簡易郵便局
与那国郵便局久部良分室,,24.452291,122.94332,沖縄県,郵便局,普通,与那国4022-230,与那国郵便局久部良分室
与那国郵便局,,24.469707,123.001814,沖縄県,郵便局,普通,与那国49-3,与那国郵便局
伊敷郵便局,,31.617511,130.527533,鹿児島県,郵便局,普通,伊敷1-8-48,伊敷郵便局
鹿児島大平田郵便局,,31.626364,130.525809,鹿児島県,郵便局,普通,伊敷5-17-8,鹿児島大平田郵便局
鹿児島伊敷台郵便局,,31.625707,130.535316,鹿児島県,郵便局,普通,伊敷台2-17-22,鹿児島伊敷台郵便局
鹿児島宇宿三郵便局,,31.543964,130.538366,鹿児島県,郵便局,普通,宇宿3-5-8,鹿児島宇宿三郵便局
鹿児島永吉郵便局,,31.602652,130.535197,鹿児島県,郵便局,普通,永吉2-10-1,鹿児島永吉郵便局
卸本町簡易郵便局,,31.515772,130.521785,鹿児島県,郵便局,簡易,卸本町6-12,卸本町簡易郵便局
鹿児島下伊敷郵便局,,31.611012,130.533975,鹿児島県,郵便局,普通,下伊敷1-5-20,鹿児島下伊敷郵便局
鹿児島日当平郵便局,,31.620206,130.538502,鹿児島県,郵便局,普通,下伊敷3-22-36,鹿児島日当平郵便局
鹿児島下荒田一郵便局,,31.576711,130.555474,鹿児島県,郵便局,普通,下荒田1-9-3,鹿児島下荒田一郵便局
鹿児島下荒田四郵便局,,31.569462,130.556613,鹿児島県,郵便局,普通,下荒田4-22-20,鹿児島下荒田四郵便局
鹿児島下田郵便局,,31.644647,130.547076,鹿児島県,郵便局,普通,下田町1804-1,鹿児島下田郵便局
錫山簡易郵便局,,31.495360666,130.451068237,鹿児島県,郵便局,簡易,下福元町11096-1,錫山簡易郵便局
鹿児島加治屋町郵便局,,31.587487,130.549086,鹿児島県,郵便局,普通,加治屋町12-13,鹿児島加治屋町郵便局
花尾簡易郵便局,,31.704819,130.493396,鹿児島県,郵便局,簡易,花尾町168,花尾簡易郵便局
鹿児島花野簡易郵便局,,31.650731,130.528501,鹿児島県,郵便局,簡易,花野光ケ丘1-16-17,鹿児島花野簡易郵便局
鹿児島鴨池郵便局,,31.564351,130.549558,鹿児島県,郵便局,普通,鴨池1-53-16,鹿児島鴨池郵便局
鹿児島県庁内郵便局,,31.560352,130.557891,鹿児島県,郵便局,普通,鴨池新町10-1,鹿児島県庁内郵便局
一倉簡易郵便局,,31.352078,130.523729,鹿児島県,郵便局,簡易,喜入一倉町5297-11,一倉簡易郵便局
瀬々串郵便局,,31.421823,130.522344,鹿児島県,郵便局,普通,喜入瀬々串町3294,瀬々串郵便局
生見郵便局,,31.305649,130.580653,鹿児島県,郵便局,普通,喜入生見町2837,生見郵便局
前之浜郵便局,,31.346551,130.555559,鹿児島県,郵便局,普通,喜入前之浜町7955-3,前之浜郵便局
中名簡易郵便局,,31.391939,130.534345,鹿児島県,郵便局,簡易,喜入中名町954-6,中名簡易郵便局
喜入郵便局,,31.37341,130.542149,鹿児島県,郵便局,普通,喜入町7013-1,喜入郵便局
鹿児島吉野郵便局,,31.63987,130.568713,鹿児島県,郵便局,普通,吉野町2270-38,鹿児島吉野郵便局
鹿児島菖蒲谷郵便局,,31.651981,130.583553,鹿児島県,郵便局,普通,吉野町5047-1,鹿児島菖蒲谷郵便局
鹿児島七社簡易郵便局,,31.632674,130.589022,鹿児島県,郵便局,簡易,吉野町七社7435,鹿児島七社簡易郵便局
鹿児島玉里団地郵便局,,31.618179,130.546279,鹿児島県,郵便局,普通,玉里団地3-19-12,鹿児島玉里団地郵便局
鹿児島錦江台簡易郵便局,,31.503634,130.49651,鹿児島県,郵便局,簡易,錦江台1-31-6,鹿児島錦江台簡易郵便局
郡山郵便局,,31.679137,130.47523,鹿児島県,郵便局,普通,郡山町162-1,郡山郵便局
犬迫簡易郵便局,,31.63001,130.49845,鹿児島県,郵便局,簡易,犬迫町5840,犬迫簡易郵便局
鹿児島原良郵便局,,31.5979811465,130.52942087,鹿児島県,郵便局,普通,原良5-10-10,鹿児島原良郵便局
五ヶ別府簡易郵便局,,31.571743,130.47588,鹿児島県,郵便局,簡易,五ケ別府町1429-3,五ヶ別府簡易郵便局
鹿児島甲突郵便局,,31.581183,130.560168,鹿児島県,郵便局,普通,甲突町20-16,鹿児島甲突郵便局
鹿児島皇徳寺郵便局,,31.561126,130.495219,鹿児島県,郵便局,普通,皇徳寺台2-1-2,鹿児島皇徳寺郵便局
鹿児島荒田一郵便局,,31.575072,130.547892,鹿児島県,郵便局,普通,荒田1-50-2,鹿児島荒田一郵便局
鹿児島荒田二郵便局,,31.5711,130.552058,鹿児島県,郵便局,普通,荒田2-39-5,鹿児島荒田二郵便局
鹿児島坂元郵便局,,31.620262,130.553473,鹿児島県,郵便局,普通,坂元町23-3,鹿児島坂元郵便局
坂之上郵便局,,31.5015462254,130.508162261,鹿児島県,郵便局,普通,坂之上4-1-17,坂之上郵便局
鹿児島下福元郵便局,,31.4969413603,130.501272478,鹿児島県,郵便局,普通,坂之上6-24-47,鹿児島下福元郵便局
向原簡易郵便局,,31.4908718663,130.499167116,鹿児島県,郵便局,簡易,坂之上7-40-36,向原簡易郵便局
鹿児島桜ヶ丘郵便局,,31.549602,130.518812,鹿児島県,郵便局,普通,桜ケ丘5-18-17,鹿児島桜ヶ丘郵便局
